variable,variable_label,variable_class,variable_role,main_n_total,main_n_missing,main_n_nonmissing,main_pct_missing,main_pct_nonmissing,main_weighted_pct_nonmissing,main_n_unique_nonmissing,main_is_binary_01,main_availability_class,strict_n_total,strict_n_missing,strict_n_nonmissing,strict_pct_missing,strict_pct_nonmissing,strict_weighted_pct_nonmissing,strict_availability_class,preliminary_modeling_decision,final_decision,final_role,reviewer_note
H1RF1,S15Q1 RES DAD-EDUCATION LEVEL-W1,haven_labelled,original_imported_variable,3259,972,2287,29.83,70.17,72.17,12,FALSE,moderate_availability,3240,963,2277,29.72,70.28,72.28,moderate_availability,candidate_for_modeling,,,
H1RM1,S14Q1 RES MOM-EDUCATION LEVEL-W1,haven_labelled,original_imported_variable,3259,227,3032,6.97,93.03,92.79,12,FALSE,high_availability,3240,223,3017,6.88,93.12,92.88,high_availability,candidate_for_modeling,,,
H1RP3,S8Q3 WILL SUFFER IF HIV POSITIVE-W1,haven_labelled,original_imported_variable,3259,19,3240,0.58,99.42,99.15,5,FALSE,high_availability,3240,12,3228,0.37,99.63,99.36,high_availability,candidate_for_modeling,,,
H1RP5,S8Q5 RISK OF PREGNANCY W/O PROTECTION-W1,haven_labelled,original_imported_variable,3259,40,3219,1.23,98.77,98.45,5,FALSE,high_availability,3240,32,3208,0.99,99.01,98.69,high_availability,candidate_for_modeling,,,
H1RP6,S8Q6 RISK OF AIDS W/O PROTECTION-W1,haven_labelled,original_imported_variable,3259,45,3214,1.38,98.62,98.31,5,FALSE,high_availability,3240,37,3203,1.14,98.86,98.55,high_availability,candidate_for_modeling,,,
H1SE1,S9Q1 USE BIRTH CONTROL IF AROUSED-W1,haven_labelled,original_imported_variable,3259,57,3202,1.75,98.25,97.9,6,FALSE,high_availability,3240,49,3191,1.51,98.49,98.13,high_availability,candidate_for_modeling,,,
H1SE2,S9Q2 BIRTHCONTROL-ADVANCED PLANNING-W1,haven_labelled,original_imported_variable,3259,42,3217,1.29,98.71,98.37,6,FALSE,high_availability,3240,34,3206,1.05,98.95,98.61,high_availability,candidate_for_modeling,,,
H1SE3,S9Q3 RESIST SEX IF NO BIRTH CONTROL-W1,haven_labelled,original_imported_variable,3259,44,3215,1.35,98.65,98.32,6,FALSE,high_availability,3240,37,3203,1.14,98.86,98.53,high_availability,candidate_for_modeling,,,
H1TS8,S4Q8 LEARNED-AIDS-W1,haven_labelled,original_imported_variable,3259,5,3254,0.15,99.85,99.86,2,TRUE,high_availability,3240,4,3236,0.12,99.88,99.88,high_availability,candidate_for_modeling,,,
H1WP1,S16Q1 MAKE OWN DECISION-WKEND CURFEW-W1,haven_labelled,original_imported_variable,3259,108,3151,3.31,96.69,96.37,2,TRUE,high_availability,3240,105,3135,3.24,96.76,96.42,high_availability,candidate_for_modeling,,,
H1WP10,S16Q10 MOM-HOW MUCH DOES SHE CARE-W1,haven_labelled,original_imported_variable,3259,218,3041,6.69,93.31,93.13,5,FALSE,high_availability,3240,215,3025,6.64,93.36,93.17,high_availability,candidate_for_modeling,,,
H1WP13,S16Q13 CLOSE TO DAD-W1,haven_labelled,original_imported_variable,3259,960,2299,29.46,70.54,72.54,5,FALSE,moderate_availability,3240,951,2289,29.35,70.65,72.66,moderate_availability,candidate_for_modeling,,,
H1WP14,S16Q14 DAD-HOW MUCH DOES HE CARE-W1,haven_labelled,original_imported_variable,3259,960,2299,29.46,70.54,72.54,5,FALSE,moderate_availability,3240,951,2289,29.35,70.65,72.66,moderate_availability,candidate_for_modeling,,,
H1WP2,S16Q2 MAKE OWN DECISION-FRIEND-W1,haven_labelled,original_imported_variable,3259,104,3155,3.19,96.81,96.53,2,TRUE,high_availability,3240,101,3139,3.12,96.88,96.59,high_availability,candidate_for_modeling,,,
H1WP8,S16Q8 FREQ-EAT DINNER W/ PARENT-W1,haven_labelled,original_imported_variable,3259,106,3153,3.25,96.75,96.53,8,FALSE,high_availability,3240,103,3137,3.18,96.82,96.59,high_availability,candidate_for_modeling,,,
H1WP9,S16Q9 CLOSE TO MOM-W1,haven_labelled,original_imported_variable,3259,218,3041,6.69,93.31,93.13,5,FALSE,high_availability,3240,215,3025,6.64,93.36,93.17,high_availability,candidate_for_modeling,,,
IMONTH,MONTH OF INTERVIEW-W1,haven_labelled; vctrs_vctr; double,original_imported_variable,3259,0,3259,0,100,100,10,FALSE,high_availability,3240,0,3240,0,100,100,high_availability,candidate_for_modeling,,,
IYEAR,YEAR OF INTERVIEW-W1,haven_labelled; vctrs_vctr; double,original_imported_variable,3259,0,3259,0,100,100,1,FALSE,high_availability,3240,0,3240,0,100,100,high_availability,candidate_for_modeling,,,
PA21,A21 RECEIVING PUBLIC ASSISTANCE-PQ,haven_labelled,original_imported_variable,3259,556,2703,17.06,82.94,83.12,2,TRUE,high_availability,3240,547,2693,16.88,83.12,83.32,high_availability,candidate_for_modeling,,,
PA55,A55 TOTAL HOUSEHOLD INCOME-PQ,haven_labelled,original_imported_variable,3259,888,2371,27.25,72.75,73.55,133,FALSE,moderate_availability,3240,876,2364,27.04,72.96,73.74,moderate_availability,candidate_for_modeling,,,
H1CO13,S24Q13 EVER USE BIRTHCONTROL PILLS-W1,haven_labelled,original_imported_variable,3259,2778,481,85.24,14.76,14.64,2,TRUE,not_recommended_high_missingness,3240,2762,478,85.25,14.75,14.65,not_recommended_high_missingness,exclude_high_missingness,,,
H1CO8,S24Q8 EVER USE A CONDOM DURING SEX-W1,haven_labelled,original_imported_variable,3259,2857,402,87.66,12.34,12.5,2,TRUE,not_recommended_high_missingness,3240,2842,398,87.72,12.28,12.48,not_recommended_high_missingness,exclude_high_missingness,,,
H1CO9,S24Q9 HOW OFTEN USE CONDOM-W1,haven_labelled,original_imported_variable,3259,3013,246,92.45,7.55,7.88,5,FALSE,not_recommended_high_missingness,3240,2997,243,92.5,7.5,7.86,not_recommended_high_missingness,exclude_high_missingness,,,
H1FP7,S32BQ7 EVER BEEN PREGNANT-W1,haven_labelled,original_imported_variable,3259,2363,896,72.51,27.49,27.09,2,TRUE,not_recommended_high_missingness,3240,2348,892,72.47,27.53,27.16,not_recommended_high_missingness,exclude_high_missingness,,,
H1FP8,S32BQ8 NUMBER OF PREGNANCIES-W1,haven_labelled,original_imported_variable,3259,3098,161,95.06,4.94,4.78,4,FALSE,not_recommended_high_missingness,3240,3081,159,95.09,4.91,4.75,not_recommended_high_missingness,exclude_high_missingness,,,
H1CO16A,S24Q16A EVER DIAGNOSED-CHLAMYDIA-W1,haven_labelled,original_imported_variable,3259,1496,1763,45.9,54.1,53.8,2,TRUE,limited_availability_review_required,3240,1487,1753,45.9,54.1,53.85,limited_availability_review_required,review_before_modeling,,,
H1CO16C,S24Q16A EVER DIAGNOSED-GONORRHEA-W1,haven_labelled,original_imported_variable,3259,1495,1764,45.87,54.13,53.84,2,TRUE,limited_availability_review_required,3240,1487,1753,45.9,54.1,53.86,limited_availability_review_required,review_before_modeling,,,
H1CO16D,S24Q16A EVER DIAGNOSED-HIV/AIDS-W1,haven_labelled,original_imported_variable,3259,1495,1764,45.87,54.13,53.84,2,TRUE,limited_availability_review_required,3240,1487,1753,45.9,54.1,53.86,limited_availability_review_required,review_before_modeling,,,
H1CO2M,S24Q2M FIRST TIMEN SEX-MONTH-W1,haven_labelled,original_imported_variable,3259,1603,1656,49.19,50.81,50.73,12,FALSE,limited_availability_review_required,3240,1593,1647,49.17,50.83,50.79,limited_availability_review_required,review_before_modeling,,,
H1CO2Y,S24Q2Y FIRST TIME SEX-YEAR-W1,haven_labelled,original_imported_variable,3259,1594,1665,48.91,51.09,50.83,15,FALSE,limited_availability_review_required,3240,1584,1656,48.89,51.11,50.89,limited_availability_review_required,review_before_modeling,,,
H1CO3,S24Q3 FIRST TIME SEX-USE BIRTHCONTROL-W1,haven_labelled,original_imported_variable,3259,1503,1756,46.12,53.88,53.58,2,TRUE,limited_availability_review_required,3240,1494,1746,46.11,53.89,53.62,limited_availability_review_required,review_before_modeling,,,
H1CO6,S24Q6 MOST RECENT SEX-BIRTHCONTROL-W1,haven_labelled,original_imported_variable,3259,1510,1749,46.33,53.67,53.38,2,TRUE,limited_availability_review_required,3240,1502,1738,46.36,53.64,53.39,limited_availability_review_required,review_before_modeling,,,
H1PA6,S34Q6 DAD-USE OF BIRTHCONTROL-W1,haven_labelled,original_imported_variable,3259,1106,2153,33.94,66.06,67.82,5,FALSE,moderate_availability,3240,1097,2143,33.86,66.14,67.9,moderate_availability,review_before_modeling,,,
a_main_sample_grade_10_12,NA,logical,sample_definition_variable,3259,0,3259,0,100,100,1,TRUE,high_availability,3240,0,3240,0,100,100,high_availability,support_variable_not_model_predictor,,,
a_sample_age_15_19,NA,logical,sample_definition_variable,3259,0,3259,0,100,100,2,TRUE,high_availability,3240,0,3240,0,100,100,high_availability,support_variable_not_model_predictor,,,
a_sample_grade_10_12,NA,logical,sample_definition_variable,3259,0,3259,0,100,100,1,TRUE,high_availability,3240,0,3240,0,100,100,high_availability,support_variable_not_model_predictor,,,
a_strict_sample_grade_age,NA,logical,sample_definition_variable,3259,0,3259,0,100,100,2,TRUE,high_availability,3240,0,3240,0,100,100,high_availability,support_variable_not_model_predictor,,,
derived_age_15_19_flag,NA,logical,script05_derived_variable,3259,0,3259,0,100,100,2,TRUE,high_availability,3240,0,3240,0,100,100,high_availability,candidate_for_modeling,,,
derived_age_wave1,NA,numeric,script05_derived_variable,3259,0,3259,0,100,100,8,FALSE,high_availability,3240,0,3240,0,100,100,high_availability,candidate_for_modeling,,,
derived_grade_10_12_flag,NA,logical,script05_derived_variable,3259,0,3259,0,100,100,1,TRUE,high_availability,3240,0,3240,0,100,100,high_availability,candidate_for_modeling,,,
derived_grade_wave1,NA,numeric,script05_derived_variable,3259,0,3259,0,100,100,3,FALSE,high_availability,3240,0,3240,0,100,100,high_availability,candidate_for_modeling,,,
derived_main_sample_flag,NA,logical,script05_derived_variable,3259,0,3259,0,100,100,1,TRUE,high_availability,3240,0,3240,0,100,100,high_availability,candidate_for_modeling,,,
derived_strict_sample_flag,NA,logical,script05_derived_variable,3259,0,3259,0,100,100,2,TRUE,high_availability,3240,0,3240,0,100,100,high_availability,candidate_for_modeling,,,
CLUSTER2,NA,character,weight_or_design_variable,3259,880,2379,27,73,72.61,83,FALSE,moderate_availability,3240,873,2367,26.94,73.06,72.68,moderate_availability,support_variable_not_model_predictor,,,
GSWGT1,NA,numeric,weight_or_design_variable,3259,0,3259,0,100,100,850,FALSE,high_availability,3240,0,3240,0,100,100,high_availability,support_variable_not_model_predictor,,,
SCHWT1,NA,numeric,weight_or_design_variable,3259,880,2379,27,73,72.61,83,FALSE,moderate_availability,3240,873,2367,26.94,73.06,72.68,moderate_availability,support_variable_not_model_predictor,,,
valid_cluster2,NA,logical,weight_or_design_variable,3259,0,3259,0,100,100,2,TRUE,high_availability,3240,0,3240,0,100,100,high_availability,support_variable_not_model_predictor,,,
valid_gswgt1,NA,logical,weight_or_design_variable,3259,0,3259,0,100,100,1,TRUE,high_availability,3240,0,3240,0,100,100,high_availability,support_variable_not_model_predictor,,,
valid_schwt1,NA,logical,weight_or_design_variable,3259,0,3259,0,100,100,2,TRUE,high_availability,3240,0,3240,0,100,100,high_availability,support_variable_not_model_predictor,,,
