dictionary_row_id,priority_id,thesis_construct_block,thesis_item_codes,theoretical_model,add_health_target_domain,expected_analytic_use,analysis_role,variable_level,equivalence_strategy,expected_wave_priority,add_health_wave,requested_variable_name,sav_variable_name,available_in_sav,import_decision,add_health_variable_label,public_use_status,mapping_quality,final_decision,import_priority,reviewer_notes
65,20,Family support,LFA3,Socioecological model,Family support or connectedness,Socioecological predictor or mediator,socioecological_family_construct,family_context,Construct-level equivalence likely,Wave I,Wave I,H1PR7,H1PR7,TRUE,import,S35Q7 FAMIYL HAS FUN TOGETHER-W1,public_use_confirmed,direct_equivalent,accepted_for_import,2 - import second,Indicador de suporte/conexão familiar. Verificar direção: escalas H1PR e H1WP já têm maior valor aproximadamente mais suporte.
66,20,Family support,LFA3,Socioecological model,Family support or connectedness,Socioecological predictor or mediator,socioecological_family_construct,family_context,Construct-level equivalence likely,Wave I,Wave I,H1PR8,H1PR8,TRUE,import,S35Q8 FAMILY PAYS ATTENTION TO YOU-W1,public_use_confirmed,direct_equivalent,accepted_for_import,2 - import second,Indicador de suporte/conexão familiar. Verificar direção: escalas H1PR e H1WP já têm maior valor aproximadamente mais suporte.
67,20,Family support,LFA3,Socioecological model,Family support or connectedness,Socioecological predictor or mediator,socioecological_family_construct,family_context,Construct-level equivalence likely,Wave I,Wave I,H1WP9,H1WP9,TRUE,import,S16Q9 CLOSE TO MOM-W1,public_use_confirmed,near_direct_equivalent,accepted_for_import,2 - import second,Indicador de suporte/conexão familiar. Verificar direção: escalas H1PR e H1WP já têm maior valor aproximadamente mais suporte.
68,20,Family support,LFA3,Socioecological model,Family support or connectedness,Socioecological predictor or mediator,socioecological_family_construct,family_context,Construct-level equivalence likely,Wave I,Wave I,H1WP10,H1WP10,TRUE,import,S16Q10 MOM-HOW MUCH DOES SHE CARE-W1,public_use_confirmed,near_direct_equivalent,accepted_for_import,2 - import second,Indicador de suporte/conexão familiar. Verificar direção: escalas H1PR e H1WP já têm maior valor aproximadamente mais suporte.
69,20,Family support,LFA3,Socioecological model,Family support or connectedness,Socioecological predictor or mediator,socioecological_family_construct,family_context,Construct-level equivalence likely,Wave I,Wave I,H1WP13,H1WP13,TRUE,import,S16Q13 CLOSE TO DAD-W1,public_use_confirmed,near_direct_equivalent,accepted_for_import,2 - import second,Indicador de suporte/conexão familiar. Verificar direção: escalas H1PR e H1WP já têm maior valor aproximadamente mais suporte.
70,20,Family support,LFA3,Socioecological model,Family support or connectedness,Socioecological predictor or mediator,socioecological_family_construct,family_context,Construct-level equivalence likely,Wave I,Wave I,H1WP14,H1WP14,TRUE,import,S16Q14 DAD-HOW MUCH DOES HE CARE-W1,public_use_confirmed,near_direct_equivalent,accepted_for_import,2 - import second,Indicador de suporte/conexão familiar. Verificar direção: escalas H1PR e H1WP já têm maior valor aproximadamente mais suporte.
71,13,Perceived severity,SEP1-SEP4,Health Belief Model,Perceived seriousness of HIV/AIDS,Health Belief Model construct,health_belief_model_construct,psychosocial_construct,Partial construct equivalence likely,Wave I to Wave III,Wave I,H1RP3,H1RP3,TRUE,import,S8Q3 WILL SUFFER IF HIV POSITIVE-W1,public_use_confirmed,near_direct_equivalent,accepted_for_import,3 - import after review,Perceção das consequências de ser HIV positivo; inverter para maior severidade percebida.
72,13,Perceived severity,SEP1-SEP4,Health Belief Model,Perceived seriousness of HIV/AIDS,Health Belief Model construct,health_belief_model_construct,psychosocial_construct,Partial construct equivalence likely,Wave I to Wave III,Wave I,H1MO9,H1MO9,TRUE,import,S17Q9 IF PREGNANT EMBARRASS FAMILY-W1,public_use_confirmed,proxy_equivalent,accepted_for_import,3 - import after review,Consequências percebidas da gravidez; inverter para severidade percebida da gravidez.
73,13,Perceived severity,SEP1-SEP4,Health Belief Model,Perceived seriousness of HIV/AIDS,Health Belief Model construct,health_belief_model_construct,psychosocial_construct,Partial construct equivalence likely,Wave I to Wave III,Wave I,H1MO10,H1MO10,TRUE,import,S17Q10 IF PREGNANT EMBARRASS SELF-W1,public_use_confirmed,proxy_equivalent,accepted_for_import,3 - import after review,Consequências percebidas da gravidez; inverter para severidade percebida da gravidez.
74,13,Perceived severity,SEP1-SEP4,Health Belief Model,Perceived seriousness of HIV/AIDS,Health Belief Model construct,health_belief_model_construct,psychosocial_construct,Partial construct equivalence likely,Wave I to Wave III,Wave I,H1MO11,H1MO11,TRUE,import,S17Q11 IF PREGNANT HAVE TO QUIT SCH-W1,public_use_confirmed,proxy_equivalent,accepted_for_import,3 - import after review,Consequências percebidas da gravidez; inverter para severidade percebida da gravidez.
75,13,Perceived severity,SEP1-SEP4,Health Belief Model,Perceived seriousness of HIV/AIDS,Health Belief Model construct,health_belief_model_construct,psychosocial_construct,Partial construct equivalence likely,Wave I to Wave III,Wave I,H1MO12,H1MO12,TRUE,import,S17Q12 IF PREGNANT MARRY WRONG PERSON-W1,public_use_confirmed,proxy_equivalent,accepted_for_import,3 - import after review,Consequências percebidas da gravidez; inverter para severidade percebida da gravidez.
76,13,Perceived severity,SEP1-SEP4,Health Belief Model,Perceived seriousness of HIV/AIDS,Health Belief Model construct,health_belief_model_construct,psychosocial_construct,Partial construct equivalence likely,Wave I to Wave III,Wave I,H1MO13,H1MO13,TRUE,import,S17Q13 IF PREGNANT GROW UP TOO FAST-W1,public_use_confirmed,proxy_equivalent,accepted_for_import,3 - import after review,Consequências percebidas da gravidez; inverter para severidade percebida da gravidez.
77,13,Perceived severity,SEP1-SEP4,Health Belief Model,Perceived seriousness of HIV/AIDS,Health Belief Model construct,health_belief_model_construct,psychosocial_construct,Partial construct equivalence likely,Wave I to Wave III,Wave I,H1MO14,H1MO14,TRUE,import,S17Q14 IF PREGNANT MAKE HARD DECISION-W1,public_use_confirmed,proxy_equivalent,accepted_for_import,3 - import after review,Consequências percebidas da gravidez; inverter para severidade percebida da gravidez.
